carrier,origin_destination,code,description,tail_num,origin,destination,id,dep_time,distance,aircraft_engine_code,site_number
UA,BOS,101560,101560,N537UA,ORD,BOS,101560,1647,867,882,10721
UA,BOS,101561,101561,N302UA,ORD,BOS,101561,1558,867,882,10721
UA,BOS,101562,101562,,ORD,BOS,101562,,867,882,10721
UA,BOS,101563,101563,N516UA,ORD,BOS,101563,1620,867,882,10721
UA,BOS,101564,101564,N530UA,ORD,BOS,101564,1604,867,882,10721
UA,BOS,101565,101565,,ORD,BOS,101565,,867,882,10721
UA,BOS,101566,101566,N501UA,ORD,BOS,101566,1646,867,882,10721
UA,BOS,101567,101567,N568UA,ORD,BOS,101567,1633,867,882,10721
UA,BOS,101568,101568,N936UA,ORD,BOS,101568,1601,867,882,10721
UA,BOS,101569,101569,N539UA,ORD,BOS,101569,1714,867,882,10721
UA,BOS,101570,101570,N538UA,ORD,BOS,101570,1630,867,882,10721
UA,BOS,101571,101571,N568UA,ORD,BOS,101571,1657,867,882,10721
UA,BOS,101572,101572,N576UA,ORD,BOS,101572,1659,867,882,10721
UA,BOS,101573,101573,N520UA,ORD,BOS,101573,1600,867,882,10721
UA,BOS,101574,101574,N567UA,ORD,BOS,101574,1602,867,882,10721
UA,BOS,101575,101575,N332UA,ORD,BOS,101575,1602,867,882,10721
UA,BOS,101576,101576,N514UA,ORD,BOS,101576,1637,867,882,10721
UA,BOS,101577,101577,N573UA,ORD,BOS,101577,1558,867,882,10721
UA,BOS,101578,101578,N582UA,ORD,BOS,101578,1618,867,882,10721
UA,BOS,101579,101579,N558UA,ORD,BOS,101579,1605,867,882,10721
UA,BOS,101580,101580,N533UA,ORD,BOS,101580,1623,867,882,10721
UA,PHL,101612,101612,N410UA,ORD,PHL,101612,1359,678,884,14100
UA,PHL,101613,101613,N409UA,ORD,PHL,101613,1343,678,884,14100
UA,PHL,101614,101614,N425UA,ORD,PHL,101614,1331,678,884,14100
UA,PHL,101615,101615,N855UA,ORD,PHL,101615,1342,678,884,14100
UA,PHL,101616,101616,N531UA,ORD,PHL,101616,1336,678,884,14100
UA,PHL,101617,101617,,ORD,PHL,101617,,678,884,14100
UA,PHL,101618,101618,N516UA,ORD,PHL,101618,1316,678,884,14100
UA,PHL,101619,101619,N519UA,ORD,PHL,101619,1319,678,884,14100
UA,PHL,101620,101620,N542UA,ORD,PHL,101620,1313,678,884,14100
UA,PHL,101621,101621,N521UA,ORD,PHL,101621,1518,678,884,14100
UA,PHL,101622,101622,N535UA,ORD,PHL,101622,1317,678,884,14100
UA,PHL,101623,101623,N830UA,ORD,PHL,101623,1317,678,884,14100
UA,PHL,101624,101624,N399UA,ORD,PHL,101624,1314,678,884,14100
UA,PHL,101625,101625,N573UA,ORD,PHL,101625,1311,678,884,14100
UA,PHL,101626,101626,N594UA,ORD,PHL,101626,1315,678,884,14100
UA,PHL,101627,101627,N504UA,ORD,PHL,101627,1312,678,884,14100
UA,PHL,101628,101628,N503UA,ORD,PHL,101628,1615,678,884,14100
UA,PHL,101629,101629,N540UA,ORD,PHL,101629,1312,678,884,14100
UA,PHL,101630,101630,N905UA,ORD,PHL,101630,1323,678,884,14100
UA,PHL,101631,101631,N923UA,ORD,PHL,101631,1353,678,884,14100
UA,PHL,101632,101632,N531UA,ORD,PHL,101632,1349,678,884,14100
UA,PHL,101633,101633,N561UA,ORD,PHL,101633,1343,678,884,14100
UA,PHL,101634,101634,N541UA,ORD,PHL,101634,1312,678,884,14100
UA,PHL,101635,101635,N572UA,ORD,PHL,101635,1318,678,884,14100
UA,PHL,101636,101636,N527UA,ORD,PHL,101636,1417,678,884,14100
UA,PHL,101637,101637,N308UA,ORD,PHL,101637,1313,678,884,14100
UA,PHL,101638,101638,N304UA,ORD,PHL,101638,1315,678,884,14100
UA,PHL,101639,101639,N572UA,ORD,PHL,101639,1324,678,884,14100
UA,PHL,101640,101640,N594UA,ORD,PHL,101640,1334,678,884,14100
UA,PHL,101641,101641,N561UA,ORD,PHL,101641,1338,678,884,14100
UA,PHL,101642,101642,N569UA,ORD,PHL,101642,1355,678,884,14100
OH,CVG,10172,10172,N676CA,ORD,CVG,10172,1445,264,5105,11193
UA,ATL,101952,101952,N382UA,ORD,ATL,101952,1403,606,896,10397
UA,ATL,101953,101953,N326UA,ORD,ATL,101953,1350,606,896,10397
UA,ATL,101954,101954,N318UA,ORD,ATL,101954,1330,606,896,10397
UA,ATL,101955,101955,N370UA,ORD,ATL,101955,1405,606,896,10397
